text,label
"The pasta was delicious and arrived hot. Will order again!",positive
"Terrible packaging. The food was cold and the fries were soggy.",negative
"Great value for money. The portion size was generous and tasty.",positive
"Customer service ignored my complaint for three days. Very disappointed.",negative
"Loved the spicy ramen. Fast delivery and the noodles were perfect.",positive
"The burger was undercooked and the bun was stale. Would not recommend.",negative
"Fresh ingredients, on-time delivery, and a smooth checkout experience.",positive
"Wrong order twice in a row. Refund took forever. Avoid this seller.",negative
"Best chocolate cake I have ordered online. Moist, rich, and well packed.",positive
"Overpriced and bland. The description did not match what I received.",negative
"Quick support response and a replacement was sent the next day. Impressive.",positive
"App kept crashing during checkout. Missed the dinner slot completely.",negative
"Crispy chicken, generous sauce, and arrived within 25 minutes.",positive
"Found a hair in the salad. Hygiene is clearly not a priority here.",negative
"Flavourful curry with the right spice level. Family loved it.",positive
"Delivery rider was rude and the bag was leaking all over.",negative
"Reliable restaurant. Quality has been consistent for months.",positive
"Missing half the items and no one answered the helpline.",negative
"Smooth ordering, accurate ETA, and the dessert was excellent.",positive
"Tasted leftover. Reheated poorly. Asking for a full refund.",negative
